epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,512.805,1.17858,1.33397,1.27791,0.66823,0.62131,0.64122,0.38471,1.29082,1.04864,1.33837,0.00333055,0.00333055,0.00333055
2,1012.28,1.12465,0.82426,1.22099,0.66526,0.63784,0.65388,0.39074,1.30744,1.06199,1.35314,0.0066199,0.0066199,0.0066199
3,1498.24,1.18424,0.90481,1.26136,0.62723,0.51721,0.53409,0.29906,1.47887,1.42611,1.5563,0.00986525,0.00986525,0.00986525
4,1987.72,1.19688,0.92679,1.27493,0.68507,0.63016,0.64976,0.39034,1.33874,1.12982,1.40934,0.009802,0.009802,0.009802
5,2474.69,1.13621,0.83236,1.23677,0.69818,0.67941,0.68132,0.4253,1.25329,0.93584,1.33215,0.009736,0.009736,0.009736
6,2961.03,1.10041,0.78362,1.21501,0.72159,0.69617,0.70294,0.44267,1.22334,0.8641,1.30497,0.00967,0.00967,0.00967
7,3449.53,1.07319,0.74405,1.20391,0.73741,0.71744,0.73038,0.4645,1.18456,0.82535,1.28673,0.009604,0.009604,0.009604
8,3936.63,1.04584,0.70986,1.18451,0.73914,0.7363,0.73986,0.47173,1.17949,0.80343,1.27668,0.009538,0.009538,0.009538
9,4424.78,1.03195,0.6855,1.17188,0.74022,0.74248,0.73343,0.48006,1.15192,0.75956,1.24432,0.009472,0.009472,0.009472
10,4911.36,1.01962,0.66972,1.16171,0.75059,0.74922,0.75432,0.49458,1.14835,0.73243,1.24105,0.009406,0.009406,0.009406
11,5399.54,1.01163,0.65642,1.15733,0.75372,0.75803,0.76141,0.5032,1.12788,0.70038,1.22658,0.00934,0.00934,0.00934
12,5887.99,0.99558,0.64307,1.14836,0.75448,0.77389,0.76738,0.51011,1.11362,0.68665,1.21166,0.009274,0.009274,0.009274
13,6377.23,0.98868,0.635,1.14634,0.76184,0.7794,0.77307,0.51511,1.10535,0.67427,1.21354,0.009208,0.009208,0.009208
14,6867.42,0.9629,0.61462,1.13017,0.75282,0.79226,0.78336,0.51954,1.10374,0.67117,1.2076,0.009142,0.009142,0.009142
15,7355.36,0.96538,0.61006,1.12943,0.76637,0.78572,0.77951,0.52108,1.09465,0.65856,1.20186,0.009076,0.009076,0.009076
16,7843.31,0.95798,0.60492,1.1298,0.7641,0.79483,0.79329,0.52697,1.09204,0.6443,1.20189,0.00901,0.00901,0.00901
17,8331.69,0.95092,0.59609,1.12403,0.7567,0.79767,0.78994,0.5297,1.08631,0.63619,1.19884,0.008944,0.008944,0.008944
18,8821.98,0.94717,0.58467,1.1186,0.75674,0.80582,0.79104,0.53337,1.08469,0.63159,1.1964,0.008878,0.008878,0.008878
19,9311.4,0.94201,0.57791,1.1145,0.76418,0.7967,0.7903,0.53569,1.07726,0.63478,1.19327,0.008812,0.008812,0.008812
20,9798.73,0.94676,0.58283,1.11801,0.75715,0.81161,0.79307,0.53763,1.07275,0.62799,1.18936,0.008746,0.008746,0.008746
21,10289.4,0.93254,0.56633,1.10799,0.76116,0.80459,0.79282,0.53874,1.07063,0.63009,1.18817,0.00868,0.00868,0.00868
22,10780.5,0.93673,0.56702,1.11295,0.75847,0.81079,0.79213,0.5418,1.06594,0.63188,1.18407,0.008614,0.008614,0.008614
23,11269.6,0.92508,0.56024,1.10607,0.76012,0.81164,0.79275,0.54218,1.06585,0.62818,1.1863,0.008548,0.008548,0.008548
24,11760.7,0.92319,0.56041,1.10242,0.76288,0.80896,0.79251,0.54139,1.06569,0.62754,1.18557,0.008482,0.008482,0.008482
25,12253.2,0.91048,0.54827,1.09451,0.76218,0.81164,0.79286,0.54185,1.06364,0.62754,1.18357,0.008416,0.008416,0.008416
26,12745.9,0.91438,0.54705,1.09695,0.76104,0.81101,0.79282,0.54248,1.06264,0.62531,1.18348,0.00835,0.00835,0.00835
27,13235.6,0.91118,0.54284,1.10165,0.75018,0.81981,0.79498,0.54431,1.06118,0.62339,1.18319,0.008284,0.008284,0.008284
28,13725.5,0.91273,0.54545,1.09602,0.75265,0.81762,0.7949,0.54463,1.06033,0.6204,1.18336,0.008218,0.008218,0.008218
29,14216.4,0.90348,0.53881,1.09193,0.75681,0.81655,0.79445,0.54516,1.06032,0.61843,1.18376,0.008152,0.008152,0.008152
30,14704.7,0.91038,0.53699,1.09539,0.7544,0.8203,0.79527,0.54543,1.05955,0.61638,1.183,0.008086,0.008086,0.008086
31,15194.1,0.90457,0.53966,1.09441,0.75477,0.82175,0.79587,0.54595,1.05913,0.61566,1.18294,0.00802,0.00802,0.00802
32,15683.1,0.89742,0.53291,1.08838,0.75396,0.82376,0.79656,0.54633,1.05814,0.61462,1.18223,0.007954,0.007954,0.007954
33,16165.8,0.89934,0.52737,1.08819,0.76297,0.81485,0.79597,0.54635,1.05814,0.61501,1.1821,0.007888,0.007888,0.007888
34,16647.4,0.8922,0.52482,1.08406,0.76088,0.81613,0.79672,0.54701,1.05784,0.61423,1.18159,0.007822,0.007822,0.007822
35,17127.2,0.88873,0.52369,1.08444,0.76154,0.81702,0.79671,0.54678,1.05775,0.61508,1.18137,0.007756,0.007756,0.007756
36,17607.6,0.88046,0.51929,1.08666,0.76089,0.81765,0.79697,0.54701,1.05789,0.61515,1.18158,0.00769,0.00769,0.00769
37,18087.2,0.88443,0.5133,1.0806,0.76135,0.8183,0.79753,0.54774,1.05733,0.61519,1.18152,0.007624,0.007624,0.007624
38,18567,0.87699,0.51099,1.07261,0.76356,0.81852,0.7979,0.54792,1.05731,0.61547,1.18138,0.007558,0.007558,0.007558
39,19046,0.88216,0.51573,1.08125,0.76242,0.82095,0.80002,0.54806,1.0563,0.61269,1.1805,0.007492,0.007492,0.007492
40,19525.5,0.88167,0.50792,1.07834,0.75536,0.82982,0.80053,0.54851,1.05561,0.61073,1.17997,0.007426,0.007426,0.007426
41,20004.7,0.87454,0.51003,1.07484,0.75632,0.82961,0.79961,0.54882,1.0553,0.60984,1.17938,0.00736,0.00736,0.00736
42,20484,0.86828,0.50461,1.07472,0.75788,0.82929,0.80017,0.54932,1.05492,0.61038,1.1795,0.007294,0.007294,0.007294
43,20964.1,0.87238,0.50251,1.07505,0.75907,0.82798,0.80073,0.55013,1.0552,0.61057,1.18005,0.007228,0.007228,0.007228
44,21443.4,0.86793,0.5033,1.07454,0.76115,0.82415,0.80112,0.55053,1.05488,0.60969,1.18026,0.007162,0.007162,0.007162
45,21921.9,0.8611,0.49578,1.07051,0.7603,0.82563,0.80064,0.55082,1.05433,0.60712,1.18027,0.007096,0.007096,0.007096
46,22400.9,0.86107,0.4966,1.0618,0.76219,0.82497,0.80136,0.55114,1.05411,0.60533,1.18,0.00703,0.00703,0.00703
47,22879.3,0.85867,0.49576,1.06694,0.76042,0.82771,0.8014,0.55066,1.05426,0.6069,1.18041,0.006964,0.006964,0.006964
48,23358.8,0.86103,0.49582,1.06682,0.76094,0.82945,0.80223,0.55112,1.05399,0.60773,1.18013,0.006898,0.006898,0.006898
49,23837.5,0.85193,0.48812,1.06128,0.76262,0.82941,0.80256,0.55172,1.05338,0.60674,1.17954,0.006832,0.006832,0.006832
50,24316.7,0.85023,0.48748,1.05843,0.75821,0.83393,0.80317,0.55218,1.05312,0.60518,1.17974,0.006766,0.006766,0.006766
51,24796,0.85236,0.48747,1.06466,0.75645,0.83283,0.80313,0.55245,1.05277,0.60436,1.17955,0.0067,0.0067,0.0067
52,25275.3,0.84437,0.48218,1.06176,0.75854,0.83195,0.80286,0.55276,1.05248,0.60219,1.17948,0.006634,0.006634,0.006634
53,25754.3,0.84577,0.48401,1.05847,0.76192,0.82895,0.80273,0.55314,1.05229,0.6013,1.17904,0.006568,0.006568,0.006568
54,26233.2,0.84485,0.48265,1.05947,0.76091,0.8305,0.80331,0.55324,1.05238,0.60091,1.17893,0.006502,0.006502,0.006502
55,26712.5,0.84207,0.48249,1.05476,0.76076,0.83084,0.80207,0.55336,1.05269,0.59984,1.17913,0.006436,0.006436,0.006436
56,27191.6,0.83729,0.47766,1.05148,0.76246,0.82925,0.80255,0.55326,1.0529,0.59884,1.17912,0.00637,0.00637,0.00637
57,27671.2,0.83755,0.4766,1.05172,0.76542,0.82719,0.80238,0.5534,1.05233,0.59759,1.17857,0.006304,0.006304,0.006304
58,28151.2,0.83368,0.47336,1.05077,0.76147,0.82922,0.80138,0.55353,1.05234,0.596,1.17844,0.006238,0.006238,0.006238
59,28632.3,0.83742,0.47649,1.05175,0.75884,0.83135,0.80088,0.55335,1.05223,0.59515,1.17859,0.006172,0.006172,0.006172
60,29113.9,0.83532,0.4718,1.05099,0.76195,0.83053,0.80144,0.55314,1.05279,0.59527,1.17935,0.006106,0.006106,0.006106
61,29597.1,0.83508,0.46993,1.05163,0.7657,0.83091,0.80281,0.5536,1.0532,0.59453,1.17959,0.00604,0.00604,0.00604
62,30078.2,0.82868,0.46937,1.04278,0.76872,0.82802,0.80222,0.55385,1.05334,0.59388,1.17938,0.005974,0.005974,0.005974
63,30559.8,0.8232,0.46489,1.04365,0.77113,0.82923,0.80292,0.55421,1.05348,0.59309,1.17934,0.005908,0.005908,0.005908
64,31041.8,0.8298,0.46828,1.04957,0.77195,0.829,0.80324,0.55426,1.05401,0.59269,1.17924,0.005842,0.005842,0.005842
65,31523.2,0.8176,0.46194,1.04181,0.7735,0.82836,0.80378,0.55475,1.05443,0.59163,1.17921,0.005776,0.005776,0.005776
66,32003.4,0.82085,0.46068,1.04011,0.77539,0.82705,0.80397,0.55506,1.05449,0.59033,1.17925,0.00571,0.00571,0.00571
67,32487.9,0.8155,0.45898,1.04336,0.77526,0.82757,0.80461,0.55539,1.05462,0.58937,1.17941,0.005644,0.005644,0.005644
68,32970.4,0.81752,0.45662,1.04464,0.77685,0.82606,0.80506,0.55545,1.05437,0.58787,1.17923,0.005578,0.005578,0.005578
69,33452.4,0.81042,0.4561,1.03574,0.77604,0.82571,0.80479,0.55525,1.05439,0.58652,1.17943,0.005512,0.005512,0.005512
70,33934.2,0.80696,0.45012,1.03533,0.77462,0.82806,0.80519,0.55503,1.05474,0.58603,1.17943,0.005446,0.005446,0.005446
71,34414.2,0.80411,0.4526,1.03321,0.77387,0.83047,0.8042,0.55467,1.05479,0.58579,1.17952,0.00538,0.00538,0.00538
72,34893.2,0.80802,0.45227,1.03773,0.77412,0.8295,0.80399,0.55496,1.05519,0.58586,1.1799,0.005314,0.005314,0.005314
73,35372.6,0.80618,0.45151,1.03443,0.77331,0.82995,0.80475,0.55532,1.05508,0.58628,1.1801,0.005248,0.005248,0.005248
74,35851.7,0.80634,0.45127,1.03349,0.77229,0.831,0.80483,0.55565,1.0551,0.5855,1.17998,0.005182,0.005182,0.005182
75,36331.1,0.79606,0.44175,1.02991,0.76843,0.83387,0.80419,0.55556,1.05464,0.58458,1.17966,0.005116,0.005116,0.005116
76,36809.8,0.7984,0.44452,1.02915,0.77027,0.83253,0.80448,0.55564,1.05461,0.58412,1.17925,0.00505,0.00505,0.00505
77,37288.8,0.79693,0.44303,1.02494,0.77081,0.83194,0.80379,0.55542,1.0547,0.58381,1.17909,0.004984,0.004984,0.004984
78,37768,0.79951,0.44058,1.03143,0.7693,0.8351,0.80411,0.5559,1.05472,0.58388,1.17903,0.004918,0.004918,0.004918
79,38247.3,0.79406,0.4416,1.0255,0.77003,0.83393,0.80398,0.55642,1.05503,0.58485,1.17925,0.004852,0.004852,0.004852
80,38726.4,0.78943,0.43917,1.02603,0.76942,0.83336,0.80364,0.55649,1.05531,0.5854,1.17949,0.004786,0.004786,0.004786
81,39205.3,0.79261,0.43846,1.02676,0.76871,0.83354,0.80349,0.55657,1.05553,0.58408,1.17953,0.00472,0.00472,0.00472
82,39684.4,0.79393,0.43871,1.0256,0.77056,0.83339,0.80404,0.55662,1.05558,0.58427,1.17905,0.004654,0.004654,0.004654
83,40163,0.78931,0.43497,1.0217,0.77317,0.83116,0.80371,0.55684,1.05575,0.58463,1.17911,0.004588,0.004588,0.004588
84,40642.3,0.78109,0.43217,1.02004,0.77384,0.83095,0.80334,0.55664,1.05574,0.58484,1.179,0.004522,0.004522,0.004522
85,41121.1,0.77802,0.43149,1.01778,0.77413,0.83069,0.80298,0.55697,1.05611,0.58519,1.17899,0.004456,0.004456,0.004456
86,41599.5,0.7819,0.43021,1.01952,0.77406,0.83126,0.80325,0.55723,1.05611,0.58602,1.17908,0.00439,0.00439,0.00439
87,42078.4,0.76833,0.42623,1.01478,0.77173,0.83426,0.80339,0.55744,1.05632,0.58639,1.17939,0.004324,0.004324,0.004324
88,42558.5,0.77181,0.42471,1.01388,0.78028,0.82648,0.80311,0.55731,1.05682,0.58742,1.17976,0.004258,0.004258,0.004258
89,43039.5,0.76988,0.42251,1.01167,0.78129,0.8254,0.80331,0.55732,1.05714,0.58784,1.18005,0.004192,0.004192,0.004192
90,43521.3,0.7683,0.42145,1.01464,0.78236,0.82569,0.80366,0.55739,1.0571,0.58822,1.18005,0.004126,0.004126,0.004126
91,44004.6,0.76538,0.41842,1.01233,0.78106,0.82766,0.80408,0.55777,1.05718,0.58862,1.18065,0.00406,0.00406,0.00406
92,44487.4,0.75902,0.41377,1.00641,0.77918,0.83055,0.80356,0.55762,1.0575,0.58942,1.18097,0.003994,0.003994,0.003994
93,44970.2,0.74604,0.41108,1.00621,0.77889,0.83068,0.80259,0.55755,1.05806,0.58927,1.18137,0.003928,0.003928,0.003928
94,45453.1,0.75153,0.4092,1.00292,0.77704,0.83117,0.80243,0.5574,1.05856,0.58857,1.18192,0.003862,0.003862,0.003862
95,45935.2,0.75398,0.41428,1.00681,0.78215,0.82773,0.80238,0.55807,1.0591,0.58957,1.18232,0.003796,0.003796,0.003796
96,46417.7,0.75205,0.41448,1.00402,0.78024,0.82947,0.80274,0.55812,1.05976,0.58969,1.18263,0.00373,0.00373,0.00373
